        1024,    120.89,    990.33,  8.19,    121.86,    977.13,  8.02
        2048,    121.27,   1021.97,  8.43,    122.54,   1017.95,  8.31
        4096,    121.25,    967.61,  7.98,    122.86,   1027.64,  8.36
        8192,    120.81,    972.45,  8.05,    123.18,   1011.63,  8.21
       16384,    120.96,    972.63,  8.04,    123.24,   1013.23,  8.22
       32768,    120.78,    820.02,  6.79,    123.26,   1001.68,  8.13
       65536,    120.78,    788.22,  6.53,    123.24,   1004.68,  8.15
      131072,    120.30,    781.84,  6.50,    122.60,   1002.22,  8.17
      262144,    119.85,    769.74,  6.42,    122.51,   1003.00,  8.19
      524288,    119.48,    760.56,  6.37,    232.01,   1863.91,  8.03
     1048576,    217.18,    818.84,  3.77,    227.21,   1707.31,  7.51
     2097152,    207.97,    752.46,  3.62,    222.35,   1118.92,  5.03
     4194304,    218.38,    751.29,  3.44,    228.37,   1139.37,  4.99
     8388608,    220.79,    751.91,  3.41,    225.57,   1230.59,  5.46
