 1,        1,   0.00,   0.74
 1,       10,  30.00,   3.89
 1,      100,  25.00,   6.40
 1,     1000,  26.10,   6.92
 1,    10000,  26.70,   6.90
 1,   100000,  26.51,   6.88
 1,   500000,  26.79,  13.01
 1,  1000000,  26.84,  12.91
 2,        1,   0.00,   0.44
 2,       10,   0.00,   2.75
 2,      100,  27.00,  10.81
 2,     1000,  27.70,  13.31
 2,    10000,  26.74,  13.76
 2,   100000,  26.77,  13.77
 2,   500000,  26.82,  23.87
 2,  1000000,  26.93,  15.73
 4,        1, 100.00,   0.36
 4,       10,  20.00,   2.90
 4,      100,  27.00,  12.91
 4,     1000,  26.40,  24.78
 4,    10000,  26.87,  27.40
 4,   100000,  26.76,  27.02
 4,   500000,  26.87,  27.23
 4,  1000000,  26.88,  27.10
 8,        1,   0.00,   0.26
 8,       10,  20.00,   2.67
 8,      100,  25.00,  13.43
 8,     1000,  26.00,  40.75
 8,    10000,  26.51,  53.89
 8,   100000,  27.13,  37.18
 8,   500000,  26.96,  52.90
 8,  1000000,  26.85,  53.29
12,        1,   0.00,   0.22
12,       10,  30.00,   2.07
12,      100,  27.00,  12.29
12,     1000,  25.90,  43.88
12,    10000,  26.58,  55.86
12,   100000,  26.65,  55.92
12,   500000,  26.75,  57.01
12,  1000000,  26.78,  79.53
16,        1,   0.00,   0.18
16,       10,  30.00,   1.64
16,      100,  25.00,  11.79
16,     1000,  25.70,  56.41
16,    10000,  26.67,  73.34
16,   100000,  26.92,  73.38
16,   500000,  26.84,  73.96
16,  1000000,  26.91,  74.14
20,        1,   0.00,   0.17
20,       10,  30.00,   1.67
20,      100,  30.00,  11.21
20,     1000,  28.20,  60.16
20,    10000,  27.25,  89.37
20,   100000,  26.81,  92.64
20,   500000,  26.80,  89.60
20,  1000000,  26.79,  88.55
24,        1,   0.00,   0.00
24,       10,  10.00,   0.01
24,      100,  26.00,   0.03
24,     1000,  27.40,   0.52
24,    10000,  27.59,   5.90
24,   100000,  26.91,  45.45
24,   500000,  26.85,  90.93
24,  1000000,  26.87,  85.99
32,        1, 100.00,   0.02
32,       10,  50.00,   0.11
32,      100,  28.00,   1.55
32,     1000,  28.00,  14.43
32,    10000,  26.83,  52.28
32,   100000,  27.06,  66.18
32,   500000,  26.92, 114.20
32,  1000000,  26.80, 112.47
